La085Sr015FeO3_700_ramp-00068.xye	r_wp	volume	error	ka	error	kc	error	OoccTotal	error	Oocc1	error	crys_gaus	error	strain_gaus	error 
La085Sr015FeO3_700_red-00068.xye    10.69777   371.97493     0.01839     5.60437     0.00010    13.67509     0.00047     2.48096     0.02516     0.82699     0.00839    46.83317     0.34922     0.25311     0.00801
La085Sr015FeO3_700_red-00069.xye    10.70277   371.96854     0.01839     5.60433     0.00010    13.67503     0.00047     2.48161     0.02515     0.82720     0.00838    46.82491     0.34897     0.25315     0.00800
La085Sr015FeO3_700_red-00070.xye    10.70729   371.96918     0.01839     5.60434     0.00010    13.67501     0.00047     2.48196     0.02516     0.82732     0.00839    46.81593     0.34899     0.25309     0.00801
La085Sr015FeO3_700_red-00071.xye    10.72197   371.97078     0.01844     5.60434     0.00010    13.67504     0.00048     2.48040     0.02521     0.82680     0.00840    46.82305     0.34996     0.25340     0.00802
La085Sr015FeO3_700_red-00072.xye    10.70431   371.97970     0.01839     5.60440     0.00010    13.67508     0.00047     2.47851     0.02517     0.82617     0.00839    46.86540     0.35037     0.25393     0.00799
La085Sr015FeO3_700_red-00073.xye    10.72349   371.98194     0.01843     5.60441     0.00010    13.67511     0.00047     2.48162     0.02522     0.82721     0.00841    46.84288     0.35069     0.25384     0.00801
La085Sr015FeO3_700_red-00074.xye    10.70422   371.98183     0.01843     5.60441     0.00010    13.67512     0.00047     2.47998     0.02519     0.82666     0.00840    46.84033     0.35042     0.25420     0.00800
La085Sr015FeO3_700_red-00075.xye    10.67563   371.97254     0.01846     5.60436     0.00010    13.67503     0.00048     2.48081     0.02513     0.82694     0.00838    46.80353     0.34950     0.25529     0.00798
La085Sr015FeO3_700_red-00076.xye    10.70478   371.97656     0.01849     5.60439     0.00010    13.67502     0.00048     2.48009     0.02519     0.82670     0.00840    46.82175     0.35093     0.25572     0.00799
La085Sr015FeO3_700_red-00077.xye    10.70585   371.95693     0.01855     5.60429     0.00010    13.67482     0.00048     2.47915     0.02520     0.82638     0.00840    46.80802     0.35114     0.25666     0.00799
La085Sr015FeO3_700_red-00078.xye    10.69417   371.97782     0.01851     5.60442     0.00010    13.67493     0.00048     2.47979     0.02518     0.82660     0.00839    46.81536     0.35177     0.25738     0.00797
La085Sr015FeO3_700_red-00079.xye    10.70982   371.97119     0.01861     5.60437     0.00010    13.67493     0.00048     2.48022     0.02521     0.82674     0.00840    46.78482     0.35190     0.25816     0.00798
La085Sr015FeO3_700_red-00080.xye    10.70195   371.96054     0.01865     5.60432     0.00010    13.67480     0.00048     2.47958     0.02520     0.82653     0.00840    46.77594     0.35204     0.25909     0.00797
La085Sr015FeO3_700_red-00081.xye    10.70315   371.97575     0.01864     5.60442     0.00010    13.67487     0.00048     2.47820     0.02522     0.82607     0.00841    46.79210     0.35317     0.26003     0.00796
